Id,Name,DistrictAssignedId,HasLegacyCP,DistrictId
146309USPU,ORANGE MIDDLE                                     ,,,0
146310USPU,PARK AVE                                          ,,,0
146311USPU,MAIN STREET SCHOOL                                ,,,0
146327USPU,Central Middle School                          ,,,3412480DUS
14632USPU,Vero Beach High School,0031,1,1200930DUS
146336USPU,Number 5,97,,3412540DUS
146341USPU,Number 1 Thomas Jefferson,80,,3412540DUS
146342USPU,Number 3 Mario J Drago,90,,3412540DUS
146344USPU,Number 6 Martin L King,100,,3412540DUS
146346USPU,Number 8 Pulaski,120,,3412540DUS
146347USPU,Etta Gero No 9,125,,3412540DUS
146348USPU,Number 10 Roosevelt,130,,3412540DUS
146349USPU,Number 11 Cruise Memorial,140,,3412540DUS
14634USPU,Sebastian River Senior High School,0291,1,1200930DUS
146393USPU,Helen A. Fort Middle Sch                       ,PTMS,1,3412810DUS
146402USPU,Paul W Carleton                          ,080,,3412840DUS
146405USPU,Penns Grove Middle School                      ,105,1,3412840DUS
146427USPU,Mc Ginnis Middle School                      ,0004,,3412930DUS
146429USPU,Samuel E Shull Middle                        ,0006,,3412930DUS
146434USPU,Phillipsburgh Middle School                                       ,,,0
146439USPU,PINELANDS REG JR HIGH SCH                         ,,,0
146441USPU,Conackamack Middle ,,,3413050DUS
146442USPU,Quibbletown Middle,,,3413050DUS
146443USPU,Theodore Schor Middle,,,3413050DUS
146449USPU,Pitman Middle School,,,0
146455USPU,Pittsgrove Township Middle School                         ,70,1,3413110DUS
146471USPU,PLEASANTVILLE MIDDLE SCH                          ,,1,0
146472USPU,New Egypt Middle School                           ,,,3413230DUS
146485USPU,J. Witherspoon Middle                         ,,,3413410DUS
146519USPU,Slocum/Skewes School,,,3413770DUS
146574USPU,Forrestdale Middle School                ,,,0
146579USPU,PIERREPONT                                        ,,,3414460DUS
146580USPU,Union Middle School                                ,,,3414460DUS
146593USPU,Sayreville Middle,,,3414640DUS
146644USPU,So Plainfield Middle                          ,,,0
146652USPU,South River Middle                                ,,1,3415390DUS
146658USPU,SPARTA MIDDLE SCHOOL                              ,,,0
146697USPU,Benjamin Franklin Middle,BFMS035150060,1,3416080DUS
146698USPU,Thomas Jefferson Middle,TJMS035150070,1,3416080DUS
14672USPU,Fort Myers High School,,,0
146730USPU,Daylight/Twilight H S                        ,,,3416290DUS
146770USPU,Russell O. Brackman M S                          ,ROBMS,,3416470DUS
146772USPU,Burnet Middle School,,,3416500DUS
146773USPU,Kawameeh Middle School,,,3416500DUS
14677USPU,Riverdale High School,,,0
146787USPU,Upper Township Middle School                       ,,,0
14681USPU,Cape Coral High School,,1,0
146829USPU,Wall Intermediate School                     ,,,0
146836USPU,Warren Hills Reg Midd Sch                     ,,,3416970DUS
146845USPU,Bunker Hill Middle Sch                           ,BHMS,1,3417070DUS
146853USPU,Chestnut Ridge Middle                           ,CRMS,1,3417070DUS
146854USPU,Orchard Valley Middle                            ,OVMS,1,3417070DUS
146855USPU,Pond Road Middle School,PRMS,,3417100DUS
146895USPU,Macopin Middle School,mac,1,3417520DUS
146910USPU,Edison Middle,,,3417610DUS
146911USPU,Roosevelt Middle                            ,,,3417610DUS
146918USPU,Liberty Middle School,,,3417610DUS
146923USPU,Thomas R. Grover Middle School             ,GMS,1,3417700DUS
146928USPU,Community Middle School                          ,CMS,1,3417700DUS
146945USPU,WASHINGTON                                        ,,1,0
146954USPU,Memorial Middle School,mem,1,3418000DUS
146955USPU,Alternative School at Bookbinder,,,3418000DUS
146964USPU,Academy for Allied Health Sciences                         ,20,,3418040DUS
14698USPU,James Rickards High School,,,0
147041USPU,Mountain View Middle School                             ,105,1,3500010DUS
147043USPU,Eagle Ridge Middle School         ,1,1,3500010DUS
147045USPU,Rio Rancho Middle School                              ,16,1,3500010DUS
147104USPU,L.B. Johnson Middle School                             ,485,1,3500060DUS
147105USPU,Hoover Middle School                                    ,418,1,3500060DUS
147119USPU,Madison Middle School                               ,435,1,3500060DUS
147288USPU,CLOUDCROFT MIDDLE                                 ,039,1,3500540DUS
14733USPU,Bayshore High School,,,0
14734USPU,Manatee High School,,1,0
147363USPU,Hermosa Middle School                                  ,12,1,3500990DUS
147369USPU,Tibbetts Middle School                             ,13,1,3500990DUS
147549USPU,Los Lunas Middle                              ,84,,3501680DUS
14756USPU,Lakewood Ranch Senior High School,,1,0
147583USPU,Moriarty Middle School                                ,102,1,3501890DUS
147588USPU,Edgewood Middle School,3,1,3501890DUS
147624USPU,Berrendo Middle,BMS,1,3502250DUS
147629USPU,Mesa Middle,MMS,1,3502250DUS
147633USPU,Mountain View Middle,MVM,1,3502250DUS
147636USPU,Sierra Middle,SMS,1,3502250DUS
14763USPU,Vanguard High School,,,0
14786USPU,South Fork High School,,,0
14796USPU,Marathon High School,,,1201320DUS
148220USPU,Coral Academy Of Science Charter School,,1,0
148238USPU,Broadalbin-Perth Middle School                 ,,,3600005DUS
148251USPU,William H. Golding Middle School                 ,003,,3600010DUS
148266USPU,Otto L Shortell Middle School,,,3600013DUS
148274USPU,Algonquin Middle School,,,3600016DUS
148287USPU,Cutchogue East Elementary School,,,3600021DUS
14830USPU,Cypress Creek High School,1651,1,1201440DUS
14831USPU,Boone High School,0111,1,1201440DUS
148325USPU,Family Life Academy Charter School,,,0
14832USPU,Edgewater High School,0121,1,1201440DUS
14835USPU,Colonial High School,0661,1,1201440DUS
148360USPU,Professional Performing Arts High School,,,0
14837USPU,Oak Ridge High School,0691,1,1201440DUS
148387USPU,Urban Academy Laboratory High School,,,0
14838USPU,Winter Park High School,1411,1,1201440DUS
148394USPU,The Clinton School,,,7802665DUS
148398USPU,New Design Hs,,,0
14839USPU,West Orange High School,1511,1,1201440DUS
148408USPU,Urban Assembly Academy of Government & Law,02M305,,7802792DUS
148410USPU,JAMES BALDWIN SCHOOL                              ,,,0
14842USPU,Jones High School,5711,1,1201440DUS
148496USPU,Mott Hall Bronx High School,,1,0
14850USPU,Dr. Phillips High School,0931,1,1201440DUS
148534USPU,City College Academy of the Arts             ,,1,0
14854USPU,University High School,1001,1,1201440DUS
148558USPU,The Laboratory School of Finance and Technology,,,0
148592USPU,Bronx Studio School                            ,,,0
148600USPU,Gateway School for Environmental Research and Technology,,1,0
14860USPU,Maynard Evans HS,0671,1,1201440DUS
148645USPU,M.S. 327 Comprehensive Model School Project,,,0
148649USPU,KAPPA                                             ,,,0
148650USPU,EXIMIUS COLLEGE PREPARATORY ACADEMY               ,,1,0
148651USPU,EXPLORATIONS ACADEMY                              ,,,0
148652USPU,MOTT HALL BRONX HIGH SCHOOL                       ,,1,0
148653USPU,Bronx Center for Science and Mathematics,,,0
148705USPU,Bronx Theatre Hs                              ,,,0
148710USPU,Urban Assembly School of Applied Math and Science     ,,,0
148753USPU,Bronx Hs For Writing & Communication Arts,,,0
148756USPU,Astor Collegiate High School                    ,,1,0
14876USPU,Osceola High School,0081,,1201470DUS
14877USPU,St. Cloud High School,0201,,1201470DUS
14878USPU,Gateway High School,0601,,1201470DUS
148799USPU,Metropolitan High School,,,0
148800USPU,Academy For Scholarship And Entrepreneurship,,,0
14882USPU,New Beginnings Education Complex,9036,,1201470DUS
148831USPU,Urban Assembly School of Music & Art,13K350,,0
14883USPU,Professional & Technical High,0862,,1201470DUS
148859USPU,School For International Studies              ,,,0
14885USPU,Jupiter High School,,,0
148860USPU,Brooklyn Collaborative Studies,,,0
148865USPU,Secondary School For Journalism                 ,,,7802665DUS
14886USPU,Suncoast Community High School,,1,0
14889USPU,Lake Worth High School,,,0
14890USPU,Atlantic Community High School,,,0
148920USPU,The School For Human Rights,,,0
148924USPU,HS FOR YOUTH AND COMMUNITY DEVELOPMENT            ,,,0
14892USPU,Glades Central High School,,,0
14894USPU,Palm Beach Gardens High School,,1,0
148968USPU,All City Secondary School,,,0
14897USPU,Santaluces Community High,,,0
149006USPU,Academy Of Finance And Enterprise,,,0
14900USPU,Spanish River Community High School,,1,0
14901USPU,South Area High School,,1,0
14904USPU,Palm Beach Lakes High School,,,0
14907USPU,Alexander W. Dreyfoos School of the Arts,,,0
149131USPU,Information Technology High School,,,0
149133USPU,P.S. 80 Michael J. Petrides School,,,0
149143USPU,I.S. 51 Edwin Markham                    ,,,0
149185USPU,College of Staten Island High School for International Studies,,1,0
149186USPU,Syracuse Academy Of Science Charter School,,1,0
149187USPU,Buffalo Academy of Science Charter School        ,,1,0
149191USPU,Opportunity Charter School                       ,,1,0
149193USPU,Bronx Lighthouse College Prep Academy,,,0
149231USPU,East New York Family Academy,,,0
149264USPU,World Academy For Total Community Health,,,0
14947USPU,Land O'Lakes High School,,,0
149529USPU,Promise Academy II Charter High School&#8203;,PA2HS,,7801315DUS
149540USPU,I.S. 187                                          ,,,0
149599USPU,Brooklyn Studio School                      ,,,0
149600USPU,Rachel Carson School Of Coastal Studies,,1,0
149636USPU,Charter School of Educational Excellence,,1,0
149648USPU,Akron Middle School                           ,,1,3602430DUS
149650USPU,Giffen Memorial School,,,3602460DUS
149655USPU,North Albany Academy                         ,,,3602460DUS
149656USPU,Albany School Of Humanities,,,3602460DUS
149657USPU,Eagle Point Elementary School,,,3602460DUS
149658USPU,Thomas S O'Brien Academy Science & Technology,,,3602460DUS
149659USPU,William S. Hackett Middle School                 ,100010030,,3602460DUS
149663USPU,Myers Middle School                            ,100010045,,3602460DUS
149664USPU,Carl I. Bergerson Middle School,5,,3602520DUS
149673USPU,A.F. Palmer Elem Schl / Windsor Cnt Midsch,,,3602730DUS
149683USPU,Edmund W. Miles Middle School,EWM,,3602940DUS
149688USPU,Lynch Middle School             ,,1,3602970DUS
149719USPU,Avon Middle School                          ,04863,,3603660DUS
14971USPU,St. Petersburg High School,,,0
149733USPU,Donald S. Ray School                             ,9,1,0
149737USPU,Theodore R. Durgee Junior High School,6,1,0
149739USPU,Ballston Spa Middle School,,,3603930DUS
149752USPU,Bay Shore Middle School                 ,6,1,3604080DUS
149760USPU,James Wilson Young Middle School                  ,,1,3604110DUS
149764USPU,Rombout Middle School,RMS,,3604140DUS
149779USPU,Bethlehem Central Middle School,,,3604710DUS
149787USPU,John F. Kennedy Middle School                     ,2,,3604740DUS
149792USPU,East Middle School                          ,17,,3604870DUS
149797USPU,West Middle School                            ,18,,3604870DUS
149805USPU,East Middle School,23,,3605280DUS
149810USPU,North Middle School,20,,3605280DUS
149814USPU,South Middle School,21,,3605280DUS
149818USPU,West Middle School,22,,3605280DUS
149820USPU,Freshman Center,32,,3605280DUS
149829USPU,Twelve Corners Middle School                    ,3,1,3605460DUS
149832USPU,A.D. Oliver Middle School                   ,060,,3605580DUS
149839USPU,Buffalo Elementary School of Technology,6,1,3605850DUS
149840USPU,B.U.I.L.D. Academy                          ,91,1,3605850DUS
149841USPU,Dr. Lydia T. Wright School of Excellence           ,89,1,3605850DUS
149843USPU,Dr. Martin Luther King Multicultural Institute,39,1,3605850DUS
149844USPU,Herman Badillo Bilingual Academy,76,1,3605850DUS
149845USPU,Bennett Park Montessori                          ,32,1,3605850DUS
149847USPU,D'Youville Porter Campus,3,1,3605850DUS
149850USPU,Dr. Anotonia Pantoja Community School of Academic Excellence,18,1,3605850DUS
149851USPU,Native American Magnet School                         ,19,1,3605850DUS
149852USPU,Hillery Park Elementary                   ,27,1,3605850DUS
149854USPU,Harriet Ross Tubman School                    ,31,1,3605850DUS
149855USPU,Bilingual Center                                ,33,1,3605850DUS
149857USPU,Futures Academy                          ,37,1,3605850DUS
149858USPU,Frank A. Sedita Elementary School             ,30,1,3605850DUS
149860USPU,Lovejoy Discovery School                                 ,43,1,3605850DUS
149861USPU,The Academy School 131,330,1,3605850DUS
149862USPU,International School                          ,45,1,3605850DUS
149863USPU,Community School #53                           ,53,1,3605850DUS
149865USPU,Frederick Law Olmsted School                     ,56,1,3605850DUS
149866USPU,Dr. Charles R. Drew Science Magnet,59,1,3605850DUS
149870USPU,North Park Middle Academy                    ,66,1,3605850DUS
149871USPU,Houghton Academy                        ,69,1,3605850DUS
149873USPU,Lorraine Elementary School                   ,72,1,3605850DUS
149874USPU,Hamlin Park School,74,1,3605850DUS
149877USPU,Highgate Heights Elementary                                ,80,1,3605850DUS
149878USPU,School 81,81,1,3605850DUS
149880USPU,Waterfront Elementary School                              ,95,1,3605850DUS
149881USPU,West Hertel Academy                   ,94,1,3605850DUS
149883USPU,Discovery School                               ,67,1,3605850DUS
149884USPU,Pfc. William J. Grabiarz School of Excellence                    ,79,1,3605850DUS
149885USPU,Southside Elementary School                    ,93,1,3605850DUS
149888USPU,Harvey Austin School                       ,97,1,3605850DUS
149889USPU,Richard H. O'Rourke Middle School                ,,,3605940DUS
149894USPU,H.C. Crittenden Middle School,,,3606060DUS
149909USPU,Canajoharie Middle School,,,3606300DUS
149912USPU,Canandaigua Middle School,5853963850,1,3606330DUS
149919USPU,J.M. Mckenney Middle School                   ,,,3606470DUS
14991USPU,Palm Harbor University High School,,,0
149922USPU,Orville A. Todd Middle School                   ,552,,3606500DUS
149936USPU,Cato-Meridian Middle School                      ,050401040002,,3606690DUS
149937USPU,Catskill Middle School,190002,,3606720DUS
149966USPU,Chateaugay Elementary School,002,,3607080DUS
149988USPU,Churchville-Chili Middle School                 ,5,,3607530DUS
150010USPU,Cohoes Middle School,,1,3607980DUS
150013USPU,Lloyd Harbor School,,,3608010DUS
150014USPU,West Side School,,,3608010DUS
150018USPU,Commack Middle School,,,3608130DUS
150029USPU,Oakdale-Bohemia Middle School,,,3608160DUS
150030USPU,Ronkonkoma Middle School,,,3608160DUS
150034USPU,COOPERSTOWN MIDDLE SCHOOL                         ,,,0
150039USPU,Pembroke Intermediate School,360834000615,,3608340DUS
150044USPU,Corning-Painted Post Middle School,MS,,3608400DUS
150067USPU,Coxsackie-Athens Middle School,,,0
150078USPU,Robert Frost Middle School                        ,08,,3608880DUS
150093USPU,Dobbs Ferry Middle School                        ,,1,3609120DUS
150097USPU,Dryden Middle School,610301060008,,3609330DUS
150115USPU,Howard L. Goff School                          ,,,0
150123USPU,East Irondequoit Middle School,,,3609690DUS
150125USPU,East Islip Middle School,,,3609720DUS
150130USPU,Clarke Middle School,,,3609840DUS
150136USPU,Woodland Middle School,,,3609840DUS
150152USPU,Eastchester Middle School                        ,,1,0
15015USPU,Bartow Senior High School,,1,0
150179USPU,Cohen Middle School                           ,4,,3610590DUS
150189USPU,Elwood Middle School,,,3610680DUS
150211USPU,Weldon E. Howitt Middle School                                 ,,,3610980DUS
150217USPU,FONDA-FULTONVILLE 5-8 SCHOOL                      ,,,3611190DUS
15022USPU,Mckeel Academy Of Technology,,1,0
150233USPU,John W. Dodd Middle School                 ,,,3611550DUS
150239USPU,Frontier Middle School                        ,FMS,,3611670DUS
150243USPU,Fairgrieve School,460500010001,,3611700DUS
150244USPU,Fulton Junior High School                      ,460500010006,,3611700DUS
150245USPU,J.E. Lanigan School,460500010008,,3611700DUS
150246USPU,Granby Elementary School,460500010007,,3611700DUS
150247USPU,Volney Elementary School,460500010011,,3611700DUS
15024USPU,Lake Wales High School,,1,0
150250USPU,Gananda Middle School                          ,,,3611740DUS
150252USPU,Garden City Middle School                      ,280218030006,,3611760DUS
150261USPU,Gates-Chili Middle School                        ,0004,,3611880DUS
150275USPU,Glen Cove Middle School                        ,,,3612180DUS
150282USPU,Gloversville Middle School                      ,,,3612270DUS
150307USPU,Greece-Arcadia Middle School,0023,,3612630DUS
150314USPU,Greece-Athena Middle School,0020,,3612630DUS
15032USPU,Harrison School For The Arts,,,0
150335USPU,Greenwood Lake Middle School,,,0
150351USPU,Candlewood Middle School,,1,3613290DUS
150358USPU,West Hollow Middle School,,1,3613290DUS
150369USPU,Kenney Middle School                           ,,,0
150385USPU,Hauppauge Middle School                         ,,1,3613980DUS
150408USPU,BLUE MOUNTAIN MIDDLE SCHOOL                       ,,,3614190DUS
150416USPU,Herricks Middle School,,,3614280DUS
150420USPU,Hicksville Middle School                       ,,,3614340DUS
150427USPU,Highland Falls Middle School                   ,002,,3614430DUS
150432USPU,Merton Williams Middle School,,,3614460DUS
150438USPU,Holland-Patent Middle School                   ,,,3614580DUS
150443USPU,Homer Junior High School                       ,110701060006,,3614640DUS
150445USPU,Honeoye Falls-Lima Middle School,0005,,3614700DUS
150457USPU,Horseheads Middle School                    ,,,3614850DUS
150469USPU,Finley Middle School                  ,FMSNAVID,,3615090DUS
150476USPU,Haviland Middle School                       ,HMS,,3615180DUS
150503USPU,Dake Junior High School                      ,,,3615390DUS
150504USPU,Iroquois Middle School,,,3615390DUS
150506USPU,Rogers Middle School,,,3615390DUS
150511USPU,Irvington Middle School,,,3615450DUS
150514USPU,Island Park Lincoln Orens Middle School,,,3615480DUS
150520USPU,Islip Middle School                              ,,,3615540DUS
150525USPU,Dewitt Middle School,610600010015,,3615570DUS
150547USPU,Jericho Middle School,,,3615810DUS
150559USPU,Jordan-Elbridge Middle School,0420501060004,,3615990DUS
150583USPU,William T. Rogers Middle School,,,3616260DUS
150613USPU,Lakeland-Copper Beech Middle School,,,3616620DUS
150637USPU,Lawrence Middle School                      ,,,3616830DUS
150646USPU,Jonas E. Salk Middle School,13,,3617160DUS
150650USPU,Wisdom Lane Middle School,10,,3617160DUS
150652USPU,Lewiston Porter Middle School                   ,,1,3617190DUS
150662USPU,Lindenhurst Middle School,,,3617380DUS
150668USPU,CHESTNUT HILL ELEMENTARY SCHOOL                   ,,,3617520DUS
150669USPU,Chestnut Hill Middle School,421501060002,,3617520DUS
150670USPU,DONLIN DRIVE ELEMENTARY SCHOOL                    ,,,3617520DUS
150671USPU,ELMCREST ELEMENTARY SCHOOL                        ,,,3617520DUS
150672USPU,LIVERPOOL ELEMENTARY SCHOOL                       ,,,3617520DUS
150673USPU,Liverpool Middle School,421501060005,,3617520DUS
150674USPU,LONG BRANCH ELEMENTARY SCHOOL                     ,,,3617520DUS
150675USPU,MORGAN ROAD ELEMENTARY SCHOOL                     ,,,3617520DUS
150676USPU,NATE PERRY ELEMENTARY SCHOOL                      ,,,3617520DUS
150677USPU,SOULE ROAD ELEMENTARY SCHOOL                      ,,,3617520DUS
150678USPU,Soule Road Middle School,421501060014,,3617520DUS
150680USPU,WILLOW FIELD ELEMENTARY SCHOOL                    ,,,3617520DUS
150696USPU,Locust Valley Middle School                  ,,,0
150701USPU,Long Beach Middle School                      ,,,3617730DUS
150711USPU,Lyncourt School                              ,421504020001,,3617940DUS
150720USPU,Mahopac Middle School                           ,,,3618120DUS
150727USPU,Malone Middle School                          ,004,,3618180DUS
150730USPU,Howard T. Herber Middle School                   ,,,3618210DUS
150740USPU,Eagle Hill Middle School                 ,,,0
150743USPU,Wellwood Middle School                           ,,,0
150752USPU,Marlboro Middle School,,,3618570DUS
150759USPU,Berner Middle School                      ,,,3618630DUS
150765USPU,Mhs Ames Campus,,,3618630DUS
150774USPU,WILLIAM FLOYD MIDDLE SCHOOL                       ,,,0
150785USPU,Grand Avenue Middle School,,,3619020DUS
150786USPU,Merrick Avenue Middle School,,,3619020DUS
150790USPU,Mexico Middle School                         ,,1,3619170DUS
150794USPU,Dawnwood Middle School,,,3619200DUS
15079USPU,Pine View School,0021,,1201680DUS
150801USPU,Selden Middle School,,,3619200DUS
150808USPU,Longwood Junior High School                    ,6,,3619230DUS
15080USPU,Sarasota High School,0051,,1201680DUS
15081USPU,Riverview High School,0181,1,1201680DUS
15082USPU,Venice Senior High School,,,1201680DUS
150833USPU,Minisink Valley Middle School                ,mvcsdms,1,3619560DUS
150838USPU,Monroe Woodbury Middle School                    ,MWMS,1,3619650DUS
150847USPU,Valley Central Middle School                 ,,,0
150854USPU,Robert J Kaiser Middle School                 ,Robert J Kaiser Mid,,3619740DUS
150868USPU,COLUMBUS SCHOOL                                   ,10,,3620100DUS
150869USPU,Graham School                                   ,11,,3620100DUS
15086USPU,Booker High School,,1,1201680DUS
150870USPU,HAMILTON SCHOOL                                   ,5,,3620100DUS
150871USPU,HOLMES SCHOOL                                     ,17,,3620100DUS
150872USPU,LINCOLN SCHOOL                                    ,2,,3620100DUS
150874USPU,Mount Vernon STEAM Academy,12,1,3620100DUS
150875USPU,CECIL H. PARKER SCHOOL                            ,4,,3620100DUS
150876USPU,Pennington School,13,,3620100DUS
150877USPU,EDWARD WILLIAMS SCHOOL                            ,7,,3620100DUS
150878USPU,TRAPHAGEN SCHOOL                                  ,6,,3620100DUS
150879USPU,Grimes School,1,,3620100DUS
150880USPU,Benjamin Turner Middle School,15,1,3620100DUS
150886USPU,A. MACARTHUR BARR MIDDLE SCHOOL                   ,,,3620190DUS
150899USPU,Felix V. Festa Middle School,12,,3620340DUS
150904USPU,Perry Junior High School                      ,Perry,,3620370DUS
150912USPU,New Paltz Middle School                     ,,,3620460DUS
150947USPU,Meadow Hill Global Explorations Magnet School,15,1,3620700DUS
150951USPU,South Middle School                       ,22,1,3620700DUS
150952USPU,Temple Hill School                              ,16,1,3620700DUS
150955USPU,Heritage Middle School                      ,20,1,3620700DUS
150981USPU,Van Antwerp Middle School,,,3620880DUS
150986USPU,Iroquois Middle School,,,3620880DUS
150988USPU,Robert Moses Middle School                        ,,,3620910DUS
151000USPU,Blue Creek School                                ,0105,,3621000DUS
151001USPU,Boght Hills School                                ,0106,,3621000DUS
151005USPU,Shaker Junior High School                      ,0102,,3621000DUS
151006USPU,Southgate School                                  ,0111,,3621000DUS
151007USPU,Camp Avenue School,1,,3619020DUS
151008USPU,Harold D. Fayette School,2,,3619020DUS
151009USPU,Old Mill Road School,3,,3619020DUS
151016USPU,North Syracuse Junior High School              ,,1,0
151034USPU,East Northport Middle School                    ,,,3621270DUS
151036USPU,Northport Middle School                           ,,,3621270DUS
151048USPU,Nyack Middle School,006,,3621480DUS
151061USPU,Oceanside Middle School           ,9M,,3621570DUS
151087USPU,Orchard Park Middle School,,,3621900DUS
151092USPU,N.A. Walbran Elementary School                   ,,,3621960DUS
151103USPU,Oswego Middle School,,,3622050DUS
151124USPU,Oregon Middle School                            ,,,3622470DUS
151126USPU,Saxton Middle School                          ,,,3622470DUS
151127USPU,South Ocean Middle School                    ,,,3622470DUS
151131USPU,Pawling Middle School                          ,2,,3622530DUS
151143USPU,Pelham Middle School                          ,,1,3622680DUS
151146USPU,BAY TRAIL MIDDLE SCHOOL                           ,,1,0
151149USPU,INDIAN LANDING ELEMENTARY SCHOOL                  ,,,0
151150USPU,SCRIBNER ROAD ELEMENTARY SCHOOL                   ,,1,0
151162USPU,Emerson J. Dillon Middle School,462001060004,,3622920DUS
151164USPU,Circleville Middle School,CVMS,,3623010DUS
151165USPU,Crispell Middle School,Crispell,,3623010DUS
151178USPU,Barker Road Middle School,151178USPU,,3623160DUS
15117USPU,Allen D. Nease Senior High School,,1,0
151183USPU,Plainedge Middle School,,,0
151186USPU,H.B. Mattlin Middle School,,,0
151189USPU,Plainview-Old Bethpage Middle School,,,0
151196USPU,Pleasantville Middle School                      ,,,3623310DUS
151204USPU,Port Chester Middle School                      ,,,3623460DUS
151209USPU,Port Jervis Middle School                       ,PJMS,1,3623520DUS
151218USPU,A.A. Kingston Middle School,,,3623670DUS
151224USPU,Poughkeepsie Middle School,4,,3623760DUS
151231USPU,Putnam Valley Middle School,MS,,3624000DUS
151241USPU,Ravena Middle School             ,,,3624150DUS
15124USPU,Performance Based Preparatory Academy,0162,1,1201770DUS
151253USPU,Bulkeley Middle School,BMS,,3624480DUS
151256USPU,Blind Brook-Rye Middle School,,,3624630DUS
15125USPU,Lincoln Park Academy 6-12,0121,1,1201770DUS
15126USPU,Fort Pierce Central High School,0161,1,1201770DUS
151272USPU,James Monroe High School                     ,66,,3624750DUS
15127USPU,Fort Pierce Westwood High School,0201,1,1201770DUS
151305USPU,School 58-World Of Inquiry School,58,,3624750DUS
15130USPU,Port St. Lucie High School,0301,1,1201770DUS
151314USPU,SOUTH SIDE MIDDLE SCHOOL                          ,,,3624780DUS
15131USPU,Dale Cassens Educational Center,0205,1,1201770DUS
151320USPU,Rocky Point Middle School,,,3624840DUS
151346USPU,Roslyn Middle School,,,0
151350USPU,Henry V. Berger Junior Senior Middle School       ,RHBURGER,1,3625170DUS
151356USPU,Charles H. Roth Junior Senior High school             ,RHROTH,1,3625170DUS
15135USPU,St. Lucie West Centennial High,0401,1,1201770DUS
151374USPU,Sagamore Middle School                            ,151374USPU,1,3625350DUS
151375USPU,Seneca Middle School                           ,151375USPU,1,3625350DUS
151380USPU,Sequoya Middle School                             ,151380USPU,1,3625350DUS
151381USPU,Samoset Middle School                         ,151381USPU,1,3625350DUS
151393USPU,Saranac Lake Middle School,,,3625740DUS
151397USPU,Maple Avenue Middle School                    ,044,,3625770DUS
151411USPU,Sayville Middle School,005,,3625920DUS
151423USPU,Central Park Middle School,2340,,3626010DUS
151430USPU,MOUNT PLEASANT MIDDLE SCHOOL                      ,2240,,3626010DUS
151431USPU,Oneida Middle School,2350,,3626010DUS
151448USPU,North Shore Middle School,,,3626370DUS
151456USPU,Acadia Middle School                          ,011,,3626670DUS
151459USPU,Gowana Middle School                          ,003,,3626670DUS
151461USPU,Koda Middle School                         ,002,,3626670DUS
151467USPU,Sherburne-Earlville Middle School             ,3,,3626700DUS
151472USPU,Vernon-Verona-Sherrill Middle School,,,3626760DUS
151475USPU,Albert G. Prodell Middle School                  ,151475USPU,,3626840DUS
151483USPU,Skaneateles Middle School,,,3626940DUS
151507USPU,Solvay Middle School                             ,420702030007,1,3627150DUS
151521USPU,Oliver W. Winch Middle School                     ,003,1,3627240DUS
151532USPU,South Orangetown Middle School,,,3627450DUS
151537USPU,Southampton Intermediate School                    ,40,1,3627540DUS
15153USPU,Deland High School,,,0
151543USPU,SPENCER-VAN ETTEN MIDDLE SCHOOL                   ,,,3627750DUS
151545USPU,A.M. Cosgrove Middle School                    ,,,0
151559USPU,Pomona Middle School                            ,105,,3627810DUS
151560USPU,Chestnut Ridge Middle School                      ,103,,3627810DUS
151562USPU,Springs School,,,3627900DUS
151574USPU,P.J. Gelinas Junior High School,,1,3628200DUS
151575USPU,R.C. Murphy Junior High School       ,,1,3628200DUS
151582USPU,Suffern Middle School,,,3628320DUS
151596USPU,H.B. Thompson Middle School                  ,,,3628560DUS
151599USPU,South Woods Middle School                    ,,,3628560DUS
151602USPU,Syracuse STEM @ Blodgett,364,1,3628590DUS
151605USPU,Clary Magnet School     ,8,1,3628590DUS
151606USPU,Brighton Academy,11,1,3628590DUS
151610USPU,Edward Smith K-8 School    ,360,1,3628590DUS
151613USPU,Frazer K-8 School                                     ,17,1,3628590DUS
151614USPU,Grant Middle School,9,1,3628590DUS
151615USPU,H.W. Smith K-8 School,361,1,3628590DUS
151616USPU,Huntington K-8 School                              ,2,1,3628590DUS
151619USPU,Lincoln Middle School,13,1,3628590DUS
151624USPU,Roberts K-8 School                                   ,18,1,3628590DUS
151655USPU,Troy Middle School            ,,,3628950DUS
151663USPU,GEORGE GRANT MASON SCHOOL              ,,1,0
151670USPU,Lawrence Road Middle School                     ,,,3629280DUS
151673USPU,Turtle Hook Middle School                        ,,,3629280DUS
151686USPU,Valhalla Middle School,,,3629400DUS
151696USPU,Clearstream Avenue School,,,3629520DUS
151697USPU,Forest Road School,,,3629520DUS
151698USPU,Shaw Avenue School,,,3629520DUS
151699USPU,Valley Stream Memorial Junior High School         ,001,1,3629520DUS
151706USPU,Victor Intermediate School,040526,,3629640DUS
151707USPU,Victor Junior High School                        ,040527,,3629640DUS
151715USPU,John G. Borden MS        ,03,,3629790DUS
151720USPU,Wantagh Middle School,,,0
151731USPU,Van Wyck Junior High School                       ,800,,3629880DUS
151733USPU,Wappingers Falls Junior High School,801,,3629880DUS
151739USPU,Warwick Valley Middle School,,,3629970DUS
151747USPU,Case Middle School,Case MS,,3630120DUS
151764USPU,Wayne Central Middle School                  ,,1,3630330DUS
151783USPU,West Babylon Junior High School,JHS,1,3630540DUS
